
############################
training grid
############################

Type : grid Train [ Epoch 24/256 iter 1 ] lr: 0.02767, loss: 0.07342, avg_reader_cost: 2.40668 sec, avg_batch_cost: 2.52027 sec, avg_samples: 96.0, avg_ips: 38.09119 images/sec.
Type : grid Train [ Epoch 24/256 iter 2 ] lr: 0.02767, loss: 0.03414, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11825 sec, avg_samples: 96.0, avg_ips: 811.82860 images/sec.
Type : grid Train [ Epoch 24/256 iter 3 ] lr: 0.02767, loss: 0.03741, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.09356 sec, avg_samples: 72.0, avg_ips: 769.54607 images/sec.
Type : grid Test [ Epoch 24/256 ] test_cost: 3.680919 sec max_auc: 0.99415 roc_auc : 0.994152.
Type : grid Train [ Epoch 25/256 iter 1 ] lr: 0.02747, loss: 0.04018, avg_reader_cost: 2.26673 sec, avg_batch_cost: 2.37676 sec, avg_samples: 96.0, avg_ips: 40.39104 images/sec.
Type : grid Train [ Epoch 25/256 iter 2 ] lr: 0.02747, loss: 0.02197, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.10577 sec, avg_samples: 96.0, avg_ips: 907.65336 images/sec.
Type : grid Train [ Epoch 25/256 iter 3 ] lr: 0.02747, loss: 0.04755, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.08609 sec, avg_samples: 72.0, avg_ips: 836.31700 images/sec.
Type : grid Train [ Epoch 26/256 iter 1 ] lr: 0.02726, loss: 0.01520, avg_reader_cost: 2.29522 sec, avg_batch_cost: 2.40154 sec, avg_samples: 96.0, avg_ips: 39.97434 images/sec.
Type : grid Train [ Epoch 26/256 iter 2 ] lr: 0.02726, loss: 0.05989, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.10492 sec, avg_samples: 96.0, avg_ips: 914.97947 images/sec.
Type : grid Train [ Epoch 26/256 iter 3 ] lr: 0.02726, loss: 0.00897, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08580 sec, avg_samples: 72.0, avg_ips: 839.14518 images/sec.
Type : grid Train [ Epoch 27/256 iter 1 ] lr: 0.02705, loss: 0.04711, avg_reader_cost: 2.40518 sec, avg_batch_cost: 2.51125 sec, avg_samples: 96.0, avg_ips: 38.22802 images/sec.
Type : grid Train [ Epoch 27/256 iter 2 ] lr: 0.02705, loss: 0.01540, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.10884 sec, avg_samples: 96.0, avg_ips: 881.99784 images/sec.
Type : grid Train [ Epoch 27/256 iter 3 ] lr: 0.02705, loss: 0.00690, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08531 sec, avg_samples: 72.0, avg_ips: 843.99746 images/sec.
Type : grid Train [ Epoch 28/256 iter 1 ] lr: 0.02683, loss: 0.01943, avg_reader_cost: 2.28359 sec, avg_batch_cost: 2.39063 sec, avg_samples: 96.0, avg_ips: 40.15681 images/sec.
Type : grid Train [ Epoch 28/256 iter 2 ] lr: 0.02683, loss: 0.03852, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.10504 sec, avg_samples: 96.0, avg_ips: 913.95143 images/sec.
Type : grid Train [ Epoch 28/256 iter 3 ] lr: 0.02683, loss: 0.04640, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.08541 sec, avg_samples: 72.0, avg_ips: 842.96087 images/sec.
Type : grid Train [ Epoch 29/256 iter 1 ] lr: 0.02660, loss: 0.01113, avg_reader_cost: 2.20112 sec, avg_batch_cost: 2.30768 sec, avg_samples: 96.0, avg_ips: 41.60027 images/sec.
Type : grid Train [ Epoch 29/256 iter 2 ] lr: 0.02660, loss: 0.00938, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10361 sec, avg_samples: 96.0, avg_ips: 926.55754 images/sec.
Type : grid Train [ Epoch 29/256 iter 3 ] lr: 0.02660, loss: 0.00541, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.08464 sec, avg_samples: 72.0, avg_ips: 850.62542 images/sec.
Type : grid Train [ Epoch 30/256 iter 1 ] lr: 0.02636, loss: 0.02391, avg_reader_cost: 2.01287 sec, avg_batch_cost: 2.11890 sec, avg_samples: 96.0, avg_ips: 45.30648 images/sec.
Type : grid Train [ Epoch 30/256 iter 2 ] lr: 0.02636, loss: 0.00359, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10449 sec, avg_samples: 96.0, avg_ips: 918.73945 images/sec.
Type : grid Train [ Epoch 30/256 iter 3 ] lr: 0.02636, loss: 0.00330, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.08474 sec, avg_samples: 72.0, avg_ips: 849.69201 images/sec.
Type : grid Train [ Epoch 31/256 iter 1 ] lr: 0.02611, loss: 0.02282, avg_reader_cost: 2.02535 sec, avg_batch_cost: 2.13866 sec, avg_samples: 96.0, avg_ips: 44.88800 images/sec.
Type : grid Train [ Epoch 31/256 iter 2 ] lr: 0.02611, loss: 0.02336, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11205 sec, avg_samples: 96.0, avg_ips: 856.77817 images/sec.
Type : grid Train [ Epoch 31/256 iter 3 ] lr: 0.02611, loss: 0.06062, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.09277 sec, avg_samples: 72.0, avg_ips: 776.07823 images/sec.
Type : grid Train [ Epoch 32/256 iter 1 ] lr: 0.02586, loss: 0.05155, avg_reader_cost: 2.11157 sec, avg_batch_cost: 2.23925 sec, avg_samples: 96.0, avg_ips: 42.87147 images/sec.
Type : grid Train [ Epoch 32/256 iter 2 ] lr: 0.02586, loss: 0.01503, avg_reader_cost: 0.07523 sec, avg_batch_cost: 0.18710 sec, avg_samples: 96.0, avg_ips: 513.10394 images/sec.
Type : grid Train [ Epoch 32/256 iter 3 ] lr: 0.02586, loss: 0.00975, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.09384 sec, avg_samples: 72.0, avg_ips: 767.23514 images/sec.
