
############################
training tile
############################

Type : tile Train [ Epoch 34/256 iter 3 ] lr: 0.02534, loss: 0.08497, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.06136 sec, avg_samples: 38.0, avg_ips: 619.27790 images/sec.
Type : tile Train [ Epoch 35/256 iter 1 ] lr: 0.02507, loss: 0.03844, avg_reader_cost: 2.58448 sec, avg_batch_cost: 2.69783 sec, avg_samples: 96.0, avg_ips: 35.58415 images/sec.
Type : tile Train [ Epoch 35/256 iter 2 ] lr: 0.02507, loss: 0.07143, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11244 sec, avg_samples: 96.0, avg_ips: 853.79691 images/sec.
Type : tile Train [ Epoch 35/256 iter 3 ] lr: 0.02507, loss: 0.07749, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.06205 sec, avg_samples: 38.0, avg_ips: 612.45303 images/sec.
Type : tile Train [ Epoch 36/256 iter 1 ] lr: 0.02480, loss: 0.02152, avg_reader_cost: 2.86144 sec, avg_batch_cost: 2.97445 sec, avg_samples: 96.0, avg_ips: 32.27486 images/sec.
Type : tile Train [ Epoch 36/256 iter 2 ] lr: 0.02480, loss: 0.06376, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11288 sec, avg_samples: 96.0, avg_ips: 850.47869 images/sec.
Type : tile Train [ Epoch 36/256 iter 3 ] lr: 0.02480, loss: 0.03262, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.06251 sec, avg_samples: 38.0, avg_ips: 607.89101 images/sec.
Type : tile Train [ Epoch 37/256 iter 1 ] lr: 0.02452, loss: 0.06431, avg_reader_cost: 2.42860 sec, avg_batch_cost: 2.55695 sec, avg_samples: 96.0, avg_ips: 37.54479 images/sec.
Type : tile Train [ Epoch 37/256 iter 2 ] lr: 0.02452, loss: 0.05070, avg_reader_cost: 0.06217 sec, avg_batch_cost: 0.17357 sec, avg_samples: 96.0, avg_ips: 553.08744 images/sec.
Type : tile Train [ Epoch 37/256 iter 3 ] lr: 0.02452, loss: 0.00938, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.06221 sec, avg_samples: 38.0, avg_ips: 610.81941 images/sec.
Type : tile Train [ Epoch 38/256 iter 1 ] lr: 0.02423, loss: 0.11909, avg_reader_cost: 2.06688 sec, avg_batch_cost: 2.18023 sec, avg_samples: 96.0, avg_ips: 44.03215 images/sec.
Type : tile Train [ Epoch 38/256 iter 2 ] lr: 0.02423, loss: 0.06973, avg_reader_cost: 0.33919 sec, avg_batch_cost: 0.45062 sec, avg_samples: 96.0, avg_ips: 213.04041 images/sec.
Type : tile Train [ Epoch 38/256 iter 3 ] lr: 0.02423, loss: 0.08069, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.06059 sec, avg_samples: 38.0, avg_ips: 627.14369 images/sec.
Type : tile Train [ Epoch 39/256 iter 1 ] lr: 0.02394, loss: 0.03946, avg_reader_cost: 2.53858 sec, avg_batch_cost: 2.65448 sec, avg_samples: 96.0, avg_ips: 36.16528 images/sec.
Type : tile Train [ Epoch 39/256 iter 2 ] lr: 0.02394, loss: 0.03141, avg_reader_cost: 0.04755 sec, avg_batch_cost: 0.15830 sec, avg_samples: 96.0, avg_ips: 606.42823 images/sec.
Type : tile Train [ Epoch 39/256 iter 3 ] lr: 0.02394, loss: 0.04075, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.06123 sec, avg_samples: 38.0, avg_ips: 620.65488 images/sec.
Type : tile Train [ Epoch 40/256 iter 1 ] lr: 0.02364, loss: 0.05725, avg_reader_cost: 2.64722 sec, avg_batch_cost: 2.75433 sec, avg_samples: 96.0, avg_ips: 34.85419 images/sec.
Type : tile Train [ Epoch 40/256 iter 2 ] lr: 0.02364, loss: 0.04989, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.10437 sec, avg_samples: 96.0, avg_ips: 919.79300 images/sec.
