
############################
training carpet
############################

Type : carpet Train [ Epoch 17/256 iter 3 ] lr: 0.02886, loss: 0.14621, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.10477 sec, avg_samples: 88.0, avg_ips: 839.94892 images/sec.
Type : carpet Train [ Epoch 18/256 iter 1 ] lr: 0.02871, loss: 0.14709, avg_reader_cost: 2.51942 sec, avg_batch_cost: 2.63480 sec, avg_samples: 96.0, avg_ips: 36.43546 images/sec.
Type : carpet Train [ Epoch 18/256 iter 2 ] lr: 0.02871, loss: 0.10726, avg_reader_cost: 0.04015 sec, avg_batch_cost: 0.15112 sec, avg_samples: 96.0, avg_ips: 635.25597 images/sec.
Type : carpet Train [ Epoch 18/256 iter 3 ] lr: 0.02871, loss: 0.16580, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.10552 sec, avg_samples: 88.0, avg_ips: 833.95374 images/sec.
Type : carpet Train [ Epoch 19/256 iter 1 ] lr: 0.02856, loss: 0.13422, avg_reader_cost: 2.04772 sec, avg_batch_cost: 2.16072 sec, avg_samples: 96.0, avg_ips: 44.42968 images/sec.
Type : carpet Train [ Epoch 19/256 iter 2 ] lr: 0.02856, loss: 0.09378, avg_reader_cost: 0.23076 sec, avg_batch_cost: 0.34181 sec, avg_samples: 96.0, avg_ips: 280.85721 images/sec.
Type : carpet Train [ Epoch 19/256 iter 3 ] lr: 0.02856, loss: 0.13985, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10277 sec, avg_samples: 88.0, avg_ips: 856.32198 images/sec.
Type : carpet Train [ Epoch 20/256 iter 1 ] lr: 0.02840, loss: 0.11545, avg_reader_cost: 2.57617 sec, avg_batch_cost: 2.68906 sec, avg_samples: 96.0, avg_ips: 35.70016 images/sec.
Type : carpet Train [ Epoch 20/256 iter 2 ] lr: 0.02840, loss: 0.14585, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.11047 sec, avg_samples: 96.0, avg_ips: 869.05316 images/sec.
Type : carpet Train [ Epoch 20/256 iter 3 ] lr: 0.02840, loss: 0.14111, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.10495 sec, avg_samples: 88.0, avg_ips: 838.49872 images/sec.
Type : carpet Train [ Epoch 21/256 iter 1 ] lr: 0.02823, loss: 0.14911, avg_reader_cost: 2.22898 sec, avg_batch_cost: 2.34101 sec, avg_samples: 96.0, avg_ips: 41.00802 images/sec.
Type : carpet Train [ Epoch 21/256 iter 2 ] lr: 0.02823, loss: 0.12226, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11253 sec, avg_samples: 96.0, avg_ips: 853.07516 images/sec.
Type : carpet Train [ Epoch 21/256 iter 3 ] lr: 0.02823, loss: 0.12276, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.10101 sec, avg_samples: 88.0, avg_ips: 871.16725 images/sec.
Type : carpet Train [ Epoch 22/256 iter 1 ] lr: 0.02805, loss: 0.14405, avg_reader_cost: 2.61159 sec, avg_batch_cost: 2.72446 sec, avg_samples: 96.0, avg_ips: 35.23636 images/sec.
Type : carpet Train [ Epoch 22/256 iter 2 ] lr: 0.02805, loss: 0.14058, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11219 sec, avg_samples: 96.0, avg_ips: 855.70754 images/sec.
Type : carpet Train [ Epoch 22/256 iter 3 ] lr: 0.02805, loss: 0.10622, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.10549 sec, avg_samples: 88.0, avg_ips: 834.20254 images/sec.
Type : carpet Train [ Epoch 23/256 iter 1 ] lr: 0.02787, loss: 0.10040, avg_reader_cost: 2.06517 sec, avg_batch_cost: 2.17956 sec, avg_samples: 96.0, avg_ips: 44.04558 images/sec.
Type : carpet Train [ Epoch 23/256 iter 2 ] lr: 0.02787, loss: 0.14601, avg_reader_cost: 0.57554 sec, avg_batch_cost: 0.68861 sec, avg_samples: 96.0, avg_ips: 139.41044 images/sec.
Type : carpet Train [ Epoch 23/256 iter 3 ] lr: 0.02787, loss: 0.11522, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.10556 sec, avg_samples: 88.0, avg_ips: 833.62036 images/sec.
Type : carpet Train [ Epoch 24/256 iter 1 ] lr: 0.02767, loss: 0.17456, avg_reader_cost: 2.68858 sec, avg_batch_cost: 2.80309 sec, avg_samples: 96.0, avg_ips: 34.24795 images/sec.
Type : carpet Train [ Epoch 24/256 iter 2 ] lr: 0.02767, loss: 0.13495, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11245 sec, avg_samples: 96.0, avg_ips: 853.69192 images/sec.
Type : carpet Train [ Epoch 24/256 iter 3 ] lr: 0.02767, loss: 0.12130, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.10539 sec, avg_samples: 88.0, avg_ips: 834.97626 images/sec.
Type : carpet Test [ Epoch 24/256 ] test_cost: 11.604337 sec max_auc: 0.75161 roc_auc : 0.733146.
Type : carpet Train [ Epoch 25/256 iter 1 ] lr: 0.02747, loss: 0.07616, avg_reader_cost: 2.68214 sec, avg_batch_cost: 2.79599 sec, avg_samples: 96.0, avg_ips: 34.33486 images/sec.
Type : carpet Train [ Epoch 25/256 iter 2 ] lr: 0.02747, loss: 0.11122, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11205 sec, avg_samples: 96.0, avg_ips: 856.75265 images/sec.
Type : carpet Train [ Epoch 25/256 iter 3 ] lr: 0.02747, loss: 0.11099, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.10461 sec, avg_samples: 88.0, avg_ips: 841.23154 images/sec.
Type : carpet Train [ Epoch 26/256 iter 1 ] lr: 0.02726, loss: 0.12712, avg_reader_cost: 2.10747 sec, avg_batch_cost: 2.21826 sec, avg_samples: 96.0, avg_ips: 43.27720 images/sec.
Type : carpet Train [ Epoch 26/256 iter 2 ] lr: 0.02726, loss: 0.14432, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.10697 sec, avg_samples: 96.0, avg_ips: 897.43328 images/sec.
Type : carpet Train [ Epoch 26/256 iter 3 ] lr: 0.02726, loss: 0.04145, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.09685 sec, avg_samples: 88.0, avg_ips: 908.61564 images/sec.
Type : carpet Train [ Epoch 27/256 iter 1 ] lr: 0.02705, loss: 0.08576, avg_reader_cost: 2.64831 sec, avg_batch_cost: 2.75473 sec, avg_samples: 96.0, avg_ips: 34.84917 images/sec.
Type : carpet Train [ Epoch 27/256 iter 2 ] lr: 0.02705, loss: 0.10641, avg_reader_cost: 0.00046 sec, avg_batch_cost: 0.11463 sec, avg_samples: 96.0, avg_ips: 837.50160 images/sec.
Type : carpet Train [ Epoch 27/256 iter 3 ] lr: 0.02705, loss: 0.15921, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.10357 sec, avg_samples: 88.0, avg_ips: 849.69245 images/sec.
Type : carpet Train [ Epoch 28/256 iter 1 ] lr: 0.02683, loss: 0.09924, avg_reader_cost: 2.66636 sec, avg_batch_cost: 2.78174 sec, avg_samples: 96.0, avg_ips: 34.51072 images/sec.
Type : carpet Train [ Epoch 28/256 iter 2 ] lr: 0.02683, loss: 0.12584, avg_reader_cost: 0.06934 sec, avg_batch_cost: 0.18271 sec, avg_samples: 96.0, avg_ips: 525.42848 images/sec.
Type : carpet Train [ Epoch 28/256 iter 3 ] lr: 0.02683, loss: 0.10918, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.10509 sec, avg_samples: 88.0, avg_ips: 837.34217 images/sec.
Type : carpet Train [ Epoch 29/256 iter 1 ] lr: 0.02660, loss: 0.06977, avg_reader_cost: 2.82039 sec, avg_batch_cost: 2.93319 sec, avg_samples: 96.0, avg_ips: 32.72893 images/sec.
Type : carpet Train [ Epoch 29/256 iter 2 ] lr: 0.02660, loss: 0.12486, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.10795 sec, avg_samples: 96.0, avg_ips: 889.30083 images/sec.
Type : carpet Train [ Epoch 29/256 iter 3 ] lr: 0.02660, loss: 0.08567, avg_reader_cost: 0.00031 sec, avg_batch_cost: 0.10701 sec, avg_samples: 88.0, avg_ips: 822.35758 images/sec.
Type : carpet Train [ Epoch 30/256 iter 1 ] lr: 0.02636, loss: 0.10517, avg_reader_cost: 2.57461 sec, avg_batch_cost: 2.68970 sec, avg_samples: 96.0, avg_ips: 35.69170 images/sec.
Type : carpet Train [ Epoch 30/256 iter 2 ] lr: 0.02636, loss: 0.12241, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11294 sec, avg_samples: 96.0, avg_ips: 850.00830 images/sec.
